time;type;message
1682114579.48235;INFO;Received new zone object with ID sample_zone!
1682114580.6612456;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.50m/s)
1682114580.6625092;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114580.724622;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.56m/s)
1682114580.7256114;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114580.8081982;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.65m/s)
1682114580.8093622;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114580.869846;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.70m/s)
1682114580.8707528;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114580.9830024;WARNING;Warning: One trajectory generation iteration took more than 0.110s (Actual calculation time: 0.115s)
1682114580.986024;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.70m/s)
1682114580.9867625;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114581.0502627;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.70m/s)
1682114581.051191;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114581.128774;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.70m/s)
1682114583.1475568;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.29m/s)
1682114583.1483355;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114583.2256048;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.32m/s)
1682114583.2264512;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114583.287012;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.35m/s)
1682114583.2878234;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114583.367001;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.39m/s)
1682114583.367981;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114583.4296741;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.45m/s)
1682114583.4304795;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114583.5070221;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.58m/s)
1682114583.5079165;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114583.5707815;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.58m/s)
1682114583.5717945;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114583.6516361;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.58m/s)
1682114583.652645;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114583.7123787;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.58m/s)
1682114584.4951932;WARNING;Warning: One trajectory generation iteration took more than 0.110s (Actual calculation time: 0.115s)
1682114585.7214153;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.68m/s)
1682114585.7226932;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114585.7814572;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.78m/s)
1682114585.7822263;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114585.864374;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.84m/s)
1682114585.865375;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114585.9261844;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.84m/s)
1682114585.927022;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114586.0054166;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.84m/s)
1682114586.0062737;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114586.066552;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.84m/s)
1682114586.2575777;WARNING;Warning: One trajectory generation iteration took more than 0.110s (Actual calculation time: 0.113s)
1682114587.2225053;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.45m/s)
1682114587.2233515;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
1682114587.3034503;WARNING;Velocity profile generation did not match the inserted boundary conditions! (Action Set: straight, Offset: -0.49m/s)
1682114587.3044264;WARNING;Detected iterative infeasibility and triggered deceleration on old path!
